source	target	interactiontype
ENSMUSG00000024431	ENSMUSG00000028843	TF-TG
ENSMUSG00000024431	ENSMUSG00000029102	TF-TG
ENSMUSG00000024431	ENSMUSG00000029185	TF-TG
ENSMUSG00000024431	ENSMUSG00000029370	TF-TG
ENSMUSG00000024431	ENSMUSG00000029470	TF-TG
ENSMUSG00000024431	ENSMUSG00000029490	TF-TG
ENSMUSG00000024431	ENSMUSG00000030275	TF-TG
ENSMUSG00000024431	ENSMUSG00000030340	TF-TG
ENSMUSG00000024431	ENSMUSG00000030616	TF-TG
ENSMUSG00000024431	ENSMUSG00000030866	TF-TG
ENSMUSG00000024431	ENSMUSG00000031255	TF-TG
ENSMUSG00000024431	ENSMUSG00000031570	TF-TG
ENSMUSG00000024431	ENSMUSG00000031668	TF-TG
ENSMUSG00000024431	ENSMUSG00000031981	TF-TG
ENSMUSG00000024431	ENSMUSG00000032120	TF-TG
ENSMUSG00000024431	ENSMUSG00000032226	TF-TG
ENSMUSG00000024431	ENSMUSG00000032353	TF-TG
ENSMUSG00000024431	ENSMUSG00000032726	TF-TG
ENSMUSG00000024431	ENSMUSG00000032773	TF-TG
ENSMUSG00000024431	ENSMUSG00000032932	TF-TG
ENSMUSG00000024431	ENSMUSG00000033147	TF-TG
ENSMUSG00000024431	ENSMUSG00000033590	TF-TG
ENSMUSG00000024431	ENSMUSG00000033684	TF-TG
ENSMUSG00000024431	ENSMUSG00000034112	TF-TG
ENSMUSG00000024431	ENSMUSG00000034353	TF-TG
ENSMUSG00000024431	ENSMUSG00000034472	TF-TG
ENSMUSG00000024431	ENSMUSG00000034586	TF-TG
