ident	gene	coefD	pvalD	padjD	coefC	pvalC	padjC	mastfc	alpha	ref_alpha	mu	ref_mu	mean	ref_mean	log2fc
Immature Goblet	SLC25A5	-1.273068695	2.15697E-11	2.98511E-09	-0.477248832	5.26946E-08	1.10565E-05	-0.42029032	0.709677419	0.839101964	2.880948714	3.46915022	2.386185391	3.216068684	-0.829883293
Immature Goblet	DECR1	-1.281176574	7.46299E-13	1.32923E-10	-0.032466698	0.73994243	1	-0.094905627	0.27016129	0.331150608	1.419928203	1.984493266	-0.468154046	0.390065252	-0.858219298
Immature Goblet	FAM195A	-1.29026734	4.38715E-14	9.6733E-12	-0.261157458	0.001221512	0.073909974	-0.071220077	0.387096774	0.480823199	1.465940032	2.14495157	0.096720342	1.088535995	-0.991815653
Immature Goblet	ATP5O	-1.313637351	6.35077E-13	1.18024E-10	-0.320727073	2.50813E-05	0.003049374	-0.23031819	0.629032258	0.763330215	2.477459668	2.948348854	1.808668185	2.558729047	-0.750060862
Immature Goblet	EIF3K	-1.325048781	1.00394E-12	1.71846E-10	-0.380302522	7.12818E-07	0.000122014	-0.333269568	0.64516129	0.779232928	2.368374717	2.954661862	1.736109126	2.59478931	-0.858680184
Immature Goblet	UQCRFS1	-1.331443086	4.01493E-15	1.11128E-12	-0.255244091	0.00232692	0.131612642	-0.188126135	0.504032258	0.641721235	1.835743788	2.469976457	0.847338553	1.829997568	-0.982659014
Immature Goblet	SLC25A4	-1.334799777	7.90263E-11	9.60797E-09	-0.247137085	0.036428886	0.789838974	-0.046762864	0.14516129	0.188961646	0.616093494	1.60803035	-2.168083168	-0.79576962	-1.372313549
Immature Goblet	AC009501.4	-1.337478703	4.88083E-18	2.26767E-15	0.58196423	3.69151E-05	0.00432638	-1.044274324	0.209677419	0.501403181	2.942111773	2.471799772	0.688367263	1.47584724	-0.787479978
Immature Goblet	C17orf76-AS1	-1.377091712	4.82033E-11	6.27077E-09	-0.325565525	0.000172516	0.015267107	-0.582623028	0.786290323	0.908325538	3.671866103	4.039487608	3.325000631	3.900769107	-0.575768475
Immature Goblet	TRAPPC6A	-1.385866534	3.30384E-16	1.07449E-13	-0.186105598	0.055297566	0.929939678	-0.158174177	0.245967742	0.376052385	1.363922938	1.927122495	-0.659506693	0.516138796	-1.17564549
Immature Goblet	MPST	-1.388109367	7.85915E-16	2.43428E-13	-0.393347091	3.96803E-06	0.000607296	-0.140787147	0.423387097	0.539756782	1.390027525	2.276210597	0.150089534	1.386596304	-1.23650677
Immature Goblet	TMEM176A	-1.394001001	8.48587E-16	2.56727E-13	-0.025602443	0.844192767	1	-0.271529829	0.262096774	0.370439663	1.328174496	2.035306542	-0.603626379	0.602627238	-1.206253617
